
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
2.48001097e-03, -5.86328283e-03, 0.00000000e+00, 2.48001097e-03, -5.86328283e-03
2.48001097e-03, -5.86328283e-03, 1.00000000e+00, 2.48001097e-03, -5.86328283e-03
8.94009974e-03, -8.65123514e-03, 0.00000000e+00, 8.94009974e-03, -8.65123514e-03
8.94009974e-03, -8.65123514e-03, 1.00000000e+00, 8.94009974e-03, -8.65123514e-03
1.52570838e-02, -1.10447770e-02, 0.00000000e+00, 1.52570838e-02, -1.10447770e-02
1.52570838e-02, -1.10447770e-02, 1.00000000e+00, 1.52570838e-02, -1.10447770e-02
2.18018591e-02, -1.30700525e-02, 0.00000000e+00, 2.18018591e-02, -1.30700525e-02
2.18018591e-02, -1.30700525e-02, 1.00000000e+00, 2.18018591e-02, -1.30700525e-02
2.86936555e-02, -1.48430420e-02, 0.00000000e+00, 2.86936555e-02, -1.48430420e-02
2.86936555e-02, -1.48430420e-02, 1.00000000e+00, 2.86936555e-02, -1.48430420e-02
3.56977955e-02, -1.63247250e-02, 0.00000000e+00, 3.56977955e-02, -1.63247250e-02
3.56977955e-02, -1.63247250e-02, 1.00000000e+00, 3.56977955e-02, -1.63247250e-02
4.29241396e-02, -1.76250320e-02, 0.00000000e+00, 4.29241396e-02, -1.76250320e-02
4.29241396e-02, -1.76250320e-02, 1.00000000e+00, 4.29241396e-02, -1.76250320e-02
5.03476858e-02, -1.87692698e-02, 0.00000000e+00, 5.03476858e-02, -1.87692698e-02
5.03476858e-02, -1.87692698e-02, 1.00000000e+00, 5.03476858e-02, -1.87692698e-02
5.79449162e-02, -1.98097359e-02, 0.00000000e+00, 5.79449162e-02, -1.98097359e-02
5.79449162e-02, -1.98097359e-02, 1.00000000e+00, 5.79449162e-02, -1.98097359e-02
6.57127798e-02, -2.07481906e-02, 0.00000000e+00, 6.57127798e-02, -2.07481906e-02
6.57127798e-02, -2.07481906e-02, 1.00000000e+00, 6.57127798e-02, -2.07481906e-02
7.36590475e-02, -2.15968750e-02, 0.00000000e+00, 7.36590475e-02, -2.15968750e-02
7.36590475e-02, -2.15968750e-02, 1.00000000e+00, 7.36590475e-02, -2.15968750e-02
8.17804188e-02, -2.23652460e-02, 0.00000000e+00, 8.17804188e-02, -2.23652460e-02
8.17804188e-02, -2.23652460e-02, 1.00000000e+00, 8.17804188e-02, -2.23652460e-02
9.00761485e-02, -2.30631996e-02, 0.00000000e+00, 9.00761485e-02, -2.30631996e-02
9.00761485e-02, -2.30631996e-02, 1.00000000e+00, 9.00761485e-02, -2.30631996e-02
9.85576734e-02, -2.36910488e-02, 0.00000000e+00, 9.85576734e-02, -2.36910488e-02
9.85576734e-02, -2.36910488e-02, 1.00000000e+00, 9.85576734e-02, -2.36910488e-02
1.07224718e-01, -2.42640469e-02, 0.00000000e+00, 1.07224718e-01, -2.42640469e-02
1.07224718e-01, -2.42640469e-02, 1.00000000e+00, 1.07224718e-01, -2.42640469e-02
1.16079092e-01, -2.47901306e-02, 0.00000000e+00, 1.16079092e-01, -2.47901306e-02
1.16079092e-01, -2.47901306e-02, 1.00000000e+00, 1.16079092e-01, -2.47901306e-02
1.25127643e-01, -2.52535325e-02, 0.00000000e+00, 1.25127643e-01, -2.52535325e-02
1.25127643e-01, -2.52535325e-02, 1.00000000e+00, 1.25127643e-01, -2.52535325e-02
1.34365827e-01, -2.56862771e-02, 0.00000000e+00, 1.34365827e-01, -2.56862771e-02
1.34365827e-01, -2.56862771e-02, 1.00000000e+00, 1.34365827e-01, -2.56862771e-02
1.43804848e-01, -2.60668118e-02, 0.00000000e+00, 1.43804848e-01, -2.60668118e-02
1.43804848e-01, -2.60668118e-02, 1.00000000e+00, 1.43804848e-01, -2.60668118e-02
1.53445333e-01, -2.64046583e-02, 0.00000000e+00, 1.53445333e-01, -2.64046583e-02
1.53445333e-01, -2.64046583e-02, 1.00000000e+00, 1.53445333e-01, -2.64046583e-02
1.63291991e-01, -2.67091580e-02, 0.00000000e+00, 1.63291991e-01, -2.67091580e-02
1.63291991e-01, -2.67091580e-02, 1.00000000e+00, 1.63291991e-01, -2.67091580e-02
1.73349768e-01, -2.69701984e-02, 0.00000000e+00, 1.73349768e-01, -2.69701984e-02
